Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2761149,8982772,HW129890,01/23/2013 07:39:00 AM,061XX S EVANS AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,313,3.0,20.0,42.0,06,1182279.0,1864420.0,2013,02/04/2016 06:33:39 AM,41.783186768,-87.60724574,"(41.783186768, -87.60724574)"
3391828,10124040,HY312690,06/22/2015 08:00:00 AM,003XX W CHICAGO AVE,0890,THEFT,FROM BUILDING,WAREHOUSE,False,False,1823,18.0,27.0,8.0,06,1173601.0,1905657.0,2015,08/17/2015 03:03:40 PM,41.896541195,-87.637837697,"(41.896541195, -87.637837697)"
2754551,8972196,HW119761,01/16/2013 04:10:00 PM,048XX W CHICAGO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1531,15.0,28.0,25.0,18,1143914.0,1904872.0,2013,02/04/2016 06:33:39 AM,41.894995682,-87.746893204,"(41.894995682, -87.746893204)"
2766176,8990878,HW138176,01/30/2013 07:50:00 PM,119XX S STEWART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,522,5.0,34.0,53.0,14,1175772.0,1825785.0,2013,02/04/2016 06:33:39 AM,41.677315555,-87.632256102,"(41.677315555, -87.632256102)"
3462240,10246495,HY434549,09/23/2015 01:10:00 AM,104XX S MICHIGAN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,512,5.0,9.0,49.0,16,1178871.0,1835520.0,2015,09/30/2015 03:35:37 PM,41.703960042,-87.620618052,"(41.703960042, -87.620618052)"
6227478,10664166,HZ338152,07/06/2016 01:07:50 PM,004XX S DEARBORN ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,APARTMENT,True,False,113,1.0,2.0,32.0,18,,,2016,01/14/2017 03:47:18 PM,,,
2523467,8608779,HV282456,05/07/2012 12:00:00 AM,025XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,1024,10.0,22.0,30.0,08B,1154109.0,1886858.0,2012,02/04/2016 06:33:39 AM,41.845366002,-87.709929899,"(41.845366002, -87.709929899)"
3219426,9743292,HX378960,08/08/2014 11:30:00 AM,003XX W ERIE ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,False,False,1831,18.0,42.0,8.0,22,1173693.0,1904712.0,2014,02/04/2016 06:33:39 AM,41.893946016,-87.637527948,"(41.893946016, -87.637527948)"
3430557,10192281,HY379642,08/12/2015 03:58:00 PM,002XX N KARLOV AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1114,11.0,28.0,26.0,14,1149027.0,1900910.0,2015,08/19/2015 03:57:18 PM,41.884026091,-87.728216951,"(41.884026091, -87.728216951)"
2735808,8942139,HV614054,12/23/2012 11:00:00 AM,039XX W ROOSEVELT RD,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1011,10.0,24.0,29.0,18,1150401.0,1894423.0,2012,02/04/2016 06:33:39 AM,41.866198337,-87.72334073,"(41.866198337, -87.72334073)"
